Project Name,Package Name,Architecture Smell,Cause of the Smell
JavaRTS,core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: core; entity
JavaRTS,core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: core; entity; enemyAI
JavaRTS,core,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): entity; enemyAI; particles; gui
JavaRTS,enemyAI,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: enemyAI; core
JavaRTS,enemyAI,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: enemyAI; core; entity
JavaRTS,enemyAI,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: core; entity.
JavaRTS,entity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: entity; core
JavaRTS,entity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: entity; core; enemyAI
JavaRTS,entity,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): enemyAI; gui
JavaRTS,gui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: gui; core
JavaRTS,gui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: gui; core; entity
JavaRTS,gui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [button; gameMenu; textRenderer]; [confirmationIcon]; [deployGrid; inputHandler; gameCursor]; [MiniMap]; [SideBar]. LCC (Lack of Component Cohesion) = 0.56
JavaRTS,particles,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: particles; core
JavaRTS,particles,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: particles; entity; core
JavaRTS,particles,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: core; entity.
